Emotion_value,Text_data
sadness,I feel sad event I influence
joy,When I informed I accepted student Psychology
fear,When I little fishing boat ran hard weather open sea
anger,When I found guy I dating particular time steady relationship going someone else long time
sadness,I felt sad depressed I heard cat died
joy,When I acceptted student psychology
fear,When son pain leg apparent reason
anger,When week school teacher sent note home saying son inattentive unable lessons
sadness,When I thought going impossible start studying due wrong information student advisor
joy,When son born
fear,When I nearly drowned icy water wearing ice skates It difficult get
anger,When I pointed problem child primary school mother took teachers point view
sadness,When I accused neglecting work wrong reasons
joy,When months national service I downgraded remaining months
fear,When I reprimanded manager hotel I worked Autumn
anger,When parents drove nearby place went home immediately instead waiting hours They could easily waited
sadness,When exgirlfriend I discovered certain risk pregnant
joy,When older sister told us thinking joining rest family winter sports holiday
fear,Slept chapel middle night I realized someeone else chapel I never discovered
anger,When high school guys sometimes provoked friend mine They called pig grunted This irritated girls Once one girls got angry friend said something nasty made terribly angry
sadness,I talked boyfriend phone I high spirits lot tell I looking forward conversation listen extent I anticipated
joy,When I got first day department
fear,When I cycling past parked car someone opened door nearly pushed bike traffic
anger,When boyfriend sat half night playing computer games friend
sadness,When I leave mother sister weeks visit
joy,When asked childs godmother
fear,On way ski slope difficult steep
anger,When mother interfered life
sadness,When I left alone one weekend without prepared
joy,When husband suddenly came see new job brought flowers cake
fear,When I nearly attackad man chasing
anger,When father asked I communist time made clear I longer see daughter
sadness,When I applied job I thought I good chance getting I even granted interview get job
joy,When able afford new sofa leather one cost SEK I waited years
fear,Vertigo standing ladder painting house
anger,When boss enrolled course satisfy ends trample associates I misfortune one superiors course
sadness,When I argue mother way treats two children differently
joy,When I recently managed get first consulting assignment ie initiative
fear,I within hairs breadth knocking drunkard suddenly ran street The fear came later I realized could happened
anger,When friend usual forgot tickets home performance We missed
sadness,The elections The thought social democrat communist majority could achieve especially worker share funds extension
joy,When I appointed position trust group set change working environment
fear,I alone cottage I often stay I woken rustling sound middle night
anger,When I tried explain plumber face face toilet broken believe mended ten times
sadness,When result project work treated nonchalantly intead criticized teacher
joy,After girl I talked things relationship changed became positive A diificult time turned pleasant one
fear,When could land plane knew fuel running Bad weather already frightened us
anger,When I read Reagans tactical decision concerning South African boycott
sadness,When half brother became seriously ill cancer died later
joy,When I offered high position trust I later accepted
fear,I window open door shut kitten would go My partner came started talking something I forgot window suddenly I saw kitten hanging window frame I rigid fright till I got hold
anger,Some noisy guests arrived hotel I slightly irritated earlier At night I trying sleep party I went yelled I wanted sleep I get early next day
sadness,When I told I successful getting job I expecting I sure I sufficiently qualified
joy,Cycling spring sunshine gives delight Happiness healthy wonderful finance Simply earth
fear,When relationship family poor I often fear excluded group fear stronger situations argument hand
anger,Recently sister four years younger spoiled shouted mother apparent reason The heartbroken expression mothers face made feel angry
sadness,When I watched TV programme called The living planet saw far reaching environmental destruction caused man
joy,On boat trip Denmark us lot fun spent SEK one armed bandits odds jackpot SEK
fear,A rainy day I cycling downhill car door suddenly opened trying avoid back wheels bike got caught tram tracks I somersaulted injuries
sadness,My girlfriend spent months abroad broke relationship letter
fear,Last Summer I walking along beach bikini awful man came cycling He shouting I ran fast legs could carry
anger,In course I thought I deserved good marks I got ordinary marks justification I given marks
sadness,When I crashed car scrapped It fault I feel depressed I miss car
joy,When I felt love returned
fear,When I convinced someonne broken flat I woke heard sounds frightened
anger,When became clear man used many people sexually psychologically despite fact many people looked I understood one could trust I forced hide
sadness,When I feel helpless tried help someone without result
joy,When I recently got positive answer clinic telling would willingly assist collect data clinical pilot study
fear,Every time I meet certain dog bitten
anger,When lot provocation child threw plate floor
sadness,When I realized I could communicate properly closest friend
joy,When I began dansing teacher came told I good would soon get ballet academy
fear,A late Saturday night I found locked central underground station Stockholm group hard rockers drunk equipped various kinds chains etc
anger,When I forced call telephone company bill concerning disconnected phone belonging landlord The bill four months overdue meanwhile using phone seemed intention phone reconnected
sadness,Whenever I read think way people treat animals nature
joy,When month old son happy well
fear,A four year girl ran away father straight front car I forced use emergency brakes
anger,After examine I satisfied
sadness,When colleague failed contact arranged time
joy,When I gave birth healthy boy
fear,When husband I spent night house area outskirts large town familiar We heard strange noises outside house house glass walls whole thing even frightening
anger,Jealous husbands old girlfriend We met husband lot reminiscing
sadness,When daughter problems friends I could see predicament window She given cold shoulder
joy,When husband I decided take days holiday particularly trying period
fear,Before hospital visit prior DC anasthesia expected miscarriage
anger,Exchange points view sister family matter
sadness,Treatment become pregnant negative result
joy,When I gave birth child saw normal put breast
fear,During labour foetal sounds became faint big alert forceps delivery
anger,At cash desk I gone buy rolls kitchen paper reduced price After queuing screaming children turned I taken two roll packets instead one roll packet rebate applied The assistant said You get another time
joy,The high school entrance exam
fear,A gang screaming drunk youths captured tram
anger,An unjust refree decision sports event I team leader
sadness,When girlfriend left
fear,I teaching someone drive crash I scared
sadness,When dad gives priority kid brothers band activities We play different bands rehearse parents garage
joy,When I dived among sharks brightly coloured fish outer reef Tvavni Fidgi
anger,When I told computer teacher want teach beacause prejudice
sadness,When I could anything bad back
joy,When I passed driving test three weeks ago got licence
fear,When car I driving skidded icy road landed ditch one side rock
joy,When I met friends I seen last years
fear,When guy chased I jogging
sadness,No reponse
anger,When morning newspaper arrived
joy,I feel unbelievably happy relationship boyfriend reoccurring feeling
fear,A reoccurring fear something happen relatives
anger,When I argue boyfriend I feel though feels superior
sadness,When I failed exam last Summer I worked hard I disappointed thinking hopeless continue college I overreact
joy,I happy I got attractive Summer job
joy,The birth child
fear,When I leave baby carriage go shopping I fear something happen baby
anger,When Winter water pipes froze water two days
sadness,I quite succeed breast feeding baby
joy,During Christmas holidays I met old friends seen six months
fear,We driving car friend mine turned wrong direction towards unknown district nearly drove precipice
anger,When religion teacher presented shocking sectarian thoughts dooms day official teaching
sadness,My grandfather died I exchange student USA
joy,In undergrounds escalator youngish bum asked money Although I give anything fellow told I really goodlooking A man front also turned look
fear,I afraid moving away home moving Helsinki studies
anger,In student kitchen share somebody drank juice pot one litre I got one glass whole pot
sadness,My father gave money brother
fear,Once I go home foot I pass forest I going alone
anger,I missed train wait next two hours For reason I missed appointment important
sadness,When grandmother died I lived ten years
joy,A person I bad terms gave present We became reconciled
fear,A friends father died I come see friend although I know family
anger,I watching TV friend After first film I wanted watch another film channel My friend switched cannel without asking I wanted
sadness,My boyfriend I seperated initiative
joy,After considered hours I able overcome scruples call friend I fallen love I realized decision right glad
fear,After slept short time I woke I feeling someone standing beside frightened I turn light turn light several minutes I able get sleep
anger,I moved flat A friend lived left flat terrible mess I angry sloppiness impudence
sadness,My father complicated operation A long time also long time know would get During time I felt sad
joy,In summer I sailing friends Greece I felt joy
joy,Walking along beach friend another girl talking picking shells laughing chasing seagulls
fear,Climbing mountain see view towards top suddenly came across ledge nearly sheer drop either side I cross
anger,A friend suggested roundabout way reason late something I often late I know partly true felt unjustified particular time I felt I could anything anyway ie late
sadness,Talking good friend bad experience changing whole way looking life etc
joy,On meeting old friend mine
fear,When brother late arriving home work
anger,During fight best friend
sadness,When dog died
joy,When I realised I forgiven God I realised much God loves acceptance based performance loves unconditionally showed love Christ died I need forgiveness
fear,Fear paralysing I would accepted God I believed I morally bankrupt becoming Christian realising Christ came free us sin forgive us
anger,At fathers treatment mother disregard committed
sadness,At lack love father mum sadness anyone else realise much love happiness could much damaging apart mum
anger,I told boy friend park certain place car would ger towed away listen towed away At stage finances poverty line cost us money get us week including rent
sadness,My sister scholarship Norway particularly walked across tarmac get plane looked back us
anger,Getting terrible exam mark I could understand reason trying see lecturer tutor given runaround
sadness,Watching old lady running street catch bus miss reminded mother dreadful would situation
fear,When I travelling car meet oncoming car overtaking
anger,When close relative treated badly
sadness,When close friend died
joy,When I called boyfriend asked I would live
fear,Last Summer Italy I attacked dogIt terrible feel untidy dirty dog naked skin
anger,When fathers new fiancee treats like child She trust constantly misunderstands I get particularly angry says nasty things boyfriend works
sadness,When guy I love told met someone else would meet year Although steady relatioship affair
joy,When love guy returned
fear,When I think death parents brothers sisters
anger,My parents approve choice boyfriend exboyfriend He happened years older considered completely unsuitable IDIOT
joy,I met present boyfriend boat trip England We said would call got back Sweden going town England As soon I walked called England could wait till came home
fear,When mothers heart nearly stopped
anger,There sofa flat belonged old tenants acquaintances It picked year ago postponed Eventually decided one date I stayed home despite fact I things They come call still got touch
sadness,When exboyfriend I separated
joy,When I fell love
fear,Earlier I afraid speaking front crowd people
anger,A girl I went another guy
sadness,At setbacks
fear,I woke middle night I jumped shouted fear I thought someones cold hand something similar touched hand I crept covers went back sleep
joy,I made dinner friends appreciated much
fear,I nearly knocked I cycling
anger,My father I argument I help enough home
joy,After intercourse
fear,Disappointment friend
anger,Quarrelled younger brother
sadness,When I woke nightmare
joy,When I notified I accepted Psychology student
anger,A lady I live bothered clean went holiday I live collective
sadness,When I heard good friend committed suicide
fear,When I years old I woke one night found alone home My mother gone buy cigarattes machine
sadness,When I found I failed pass exams term one point The fact exactly thing happened last term help
joy,As evening class teacher I got positive feedback When atmosphere good kind relaxed understanding exists
anger,The sight man ran amok fighting dance
sadness,When work
joy,When I accepted supervisor student teacher The notification came post
fear,When I involved car accident last November first fall snow I lost control car spun round landed opposite side road hard shoulder It stopped pole top bank sloping stream
anger,With job appointments committee headmaster charge explained male teacher suitable particular post I years service male teacher taken consideration I could given less attractive job things gone way headmaster wanted
sadness,A colleagues year old daughter seriously ill cancer year live I heard weeks ago
joy,When close friend met station middle night I came back long tiring journey
fear,Having quarreled boyfriend threatened leave
anger,Someone show meeting spite agreed come
sadness,When I understood marriage falling apart decided legally separated
joy,When I able buy new car lots problems
fear,After car accident I woke heap stones
anger,When I tried put tent years ago I teased hindered cousin
sadness,When grandfather died
joy,When I admitted certain school student
fear,My father chronic desease In autumn strong fit seizure
anger,A drunken friend mine beating another friend also drunk
joy,When father managed begin new life divorce mother resulting new little sister
anger,My mother friends speaking badly father separated brothers sisters allowed listen
sadness,Being bored school able marry children
joy,I hospital visited someone quite unexpected
fear,I hunting lost fog mountains
anger,I accused misdemeanour unjustly
joy,When I finally managed get specific sound guitar baving tried long time
fear,Climbing mountain I got stuck realized I could get neither
anger,Meeting generally dominating persons social occasions
joy,When children born
fear,When I almost ran small boy suddenly front car
anger,When father phoned come home vacation since longer time look garden animals
sadness,When I told good friend seriously ill
joy,When special friend said I love first time
fear,After watched crime show TV I take dog walk Then suddenly man porch We live distance away people
anger,When car suddenly broke
sadness,When earlier friend spreading negative rumours
joy,When term paper evaluated
anger,Angry brother making fun teasing
sadness,When gradmother died
joy,Got touch earlier friends long absence
fear,I lost way trip mountains
anger,Being subject unfair treatment working group someone bending rules protected boss This resulted work others
sadness,The death close friend
joy,Receiving much wanted letter good friend lives abroad
fear,Before getting back results test school I worked hard worried succeeding
anger,One best friends accused giving early problems It casual remark side I angry hurt
sadness,Realizing school soon go different ways perhaps never meeting friends year
joy,A friend I seen years sent small present
fear,One dark night street lights car obviously following
anger,I subject false accusations got angry
sadness,I told good friend could friends relationship another girl
fear,I beaten private New Years party fault mine
anger,I felt unfairly treated airport told use different counter domestic traffic
joy,When person I fond returned
anger,When students working group showed responsibility interest work
sadness,A close friend left
joy,A close acquaintace cried I felt happy somebody cared
fear,A letter boyfriend began way I thought going end relationship I afraid reading rest
anger,My nephew deaf also hyperactive boy I responsible looking full day tired Then suddenly grabbed knife stabbed leg I got angry I feel pain
sadness,A woman I know slowly dying cancer Observing process makes sad
joy,Renewed contact earlier friend
fear,Fearing use power reprimands I belong minority
anger,A close friend first said accepted agreement later used agreement reason attacking
sadness,When realizing girlfriend fact started process breaking
joy,Receiving postcard form sweetheart abroad vacation sure would write
fear,Doesnt apply
anger,When I tried breake boyfriend refused let go
sadness,Having go back home form US ten weeks visit brother family
joy,Finding glasses lost town
fear,Falling cliff mountains
anger,Having fight class mate
sadness,When gear broke car
joy,I got job right school
fear,Going home alone forest girl guide scout meeting
anger,I get angry people disbelieve misunderstand
sadness,At death close relative
joy,Having passed exam required authorized RadioTV dealer
fear,Climbing mountain rocks loose When realized danger high still long climb ahead
sadness,When grandfather died I close relationship
joy,Succeeding helping others
fear,When I realized living borrowed time nuclear holocaust appears come closer every day
anger,When others let fail keep agreements
sadness,Death close family
joy,I received message I would accepted school I really wanted go
fear,I came home discovered someone broken Then I realized probably still
anger,I accused drunk bottle liquor refilling water
sadness,Got package parents without even small note enclosed
joy,Winning local soccer championships year great joy
fear,Before important sports events
anger,When colliding car I blame
joy,Getting top price football pools
fear,Was threatened knife military soldiers form another unit The reason girls
anger,When mother treats year old boy
sadness,Getting know uncle America brain tumor
joy,Receiving close friends form abroad I seen years
fear,Motorcycle accident two people involved running road Broke arm
anger,Having agreed share taxi expenses three people back car ran leaving person front entire bill
sadness,Death close friend
joy,Selling used car
fear,Almost crashing car something could led great problems
anger,Realizing friend talked signing certain contract
sadness,Talking pensioned bitter street order policeman
fear,Afraid I would catch train I going see sweetheart
anger,Receiving personal criticisms early morning
sadness,Not getting job
joy,Reunion wife legal separation
fear,The house fire I saved dog I afraid fire verging panic
anger,Physical violence A friend would listen I repeatedly tried warn avail Result eight people pissed
sadness,My father dying
joy,Relating closest family
fear,Thinking unknown happens moment death etc
anger,In traffic I often get relatively angry drivers Several transgressions make mad especially yielding priority traffic eg coming right
sadness,Losing close people animals So far I felt losing dog traffic accident
joy,When contract shop signed
fear,Being close auto accident almost driving road
anger,Having gone school without learning anything usual
sadness,My sweatheart away trip got problems
joy,Receiving letter form girl means lot emotionally
fear,Being close drowning
anger,Being slandered friends
sadness,Love problems
joy,I country ski championship
fear,I scared dark I little boy
anger,Angry team small boys lost county championship football final
sadness,My grandfathers death
joy,When bank let borrow money winter grant spent
fear,Once I stopped police Spain I grass tobacco
anger,My father accused brother bumped car wrong
fear,As child I home alone I felt indefinate manner afraid death father mother
anger,I discussion mother concerning sisters divorce disagreed strongly
joy,A successful lesson
fear,I thinking death
anger,A conflict pupil
sadness,When I home alone
joy,When economic crisis I got unexpected sum money
fear,In dark unreal figure formed shadow
anger,When I treated unfairly regardless motives deeds
sadness,When I noticed obvious marks old age negative sense close relative mine
joy,I coming home exam I supposed I passed I ran restaurant beer
fear,I drinking pal I later clock date fiancee We going Spanish lesson I afraid would smell I drinking
anger,My fiancee I parents place watching TV There two TVchairs sitting drunken brother came rudely chased fiancee chair sitting
sadness,I drunk couple beers fiancee got angry
joy,While dancing restaurant last week
fear,I Inter Rail Naples alone After evening restaurant I going back hotel prostitute approached sell I refused I carried walking I felt I followed someone
anger,When girl left
sadness,I way back Inter Rail board ferry Stockholm father called clock tell uncle died I would seeing final journey within four days
joy,My girlfriend gave feedback I understood meant relationship turn even closer
fear,At dentists waiting turn come
anger,While army I treated unfairly superiors I held responsible deed I innocent
sadness,When I came know grandmother died She close
joy,When I look people around know people stupid look stupid
fear,When I saw Russian roulette TV obviously movie Deer hunter
anger,When stupid people push rush time city
sadness,Laziness makes one sad
joy,Being close another person
fear,Uncertainty abilities exam
anger,An unfair punishment
sadness,Loneliness uncertain Autumn
joy,I went doctor complaint The doctor told I completely healthy
fear,My father away home come back expected came back several hours later expected
anger,I implicit agreement sister meeting however understood situation way turn
sadness,I realized girl I loved leave
joy,When I unexpectedly received birthday greetings person I like
fear,I returned home late party last night I felt afraid trying anticipate reaction father
sadness,When I came know girl I fond already boyfriend
fear,When I got lost New York city late friday night friend mine
sadness,The death grandmother
joy,I passed exam I sure pass I rejoyced result possibility continuing studies depended
fear,In traffic car I nearly got crushed bus tram The attention drivers saved last moment
anger,I disappointed angry bad quality documentay program TV In opinion topic important program made seriousness consideration
sadness,My father heart attack I home I still living He recovered relatively well although retire implied relief stress small scale enterprise
fear,A dark night I go outdoor lavatory
anger,When I realized I far behind others language course I could longer catch others
sadness,The long lasting illness grandmother changes family relationships caused
joy,When I got home job I found letter university telling I admitted begin studies
fear,While watching TV war movie I felt strong fear death threat fear loosing people close
anger,I angry friend mine behaved affected manner
joy,I unexpectedly met girl I always got along well I seen several months
fear,When father drunk raging home
anger,When I find rack used beating rugs yard
sadness,When one cat died disease
fear,In Sweden friend I lived appartment owned Finn One day man came back appartment heavily drunk hashish alcohol He quite dizzy broke I could foretell reactions However nothing happened
anger,I appointment downtown person question half hour late
joy,I got fairly large amount taxes back
fear,I jogging forest central park area I saw man hiding behind tree I got frigthened turned around ran forest
anger,I coming home taxi fellow worker mine He criticizing earlier conduct towards mind unfounded When I reached home I ran taxi slammed door
sadness,I farewell party place I working year That night I could fall sleep I sad thinking I would see nice fellow workers
joy,A sunny Autumn day long rainy period
fear,Years ago way school forest path I came across exhibitionist
anger,A person close mistook good intentions bad therefore associated unpleasant traits
sadness,A person close told positive regard depended conduct
joy,I got know I accepted university
fear,I watching TVprogram paranormal phenomena At night I could fall sleep I feared humanoids move
anger,My superior blamed neglects work front others In fact task question supposed done
sadness,My father suddenly fell ill died
joy,My joy joy meeting My husband came home away weeks work I railway station meet
fear,I alone home I could hear odd noises coming bedroom I knew nobody lived since office I got frightened later I given natural explanation
anger,A relative mine come see husband talk problem concerning sister I angry relative mine dare speak instead spoke husband I got know later day
sadness,The death father even though close
joy,My mother sister I thinking old times childhood happy time
fear,My husband gone drive strange broken car At agreed time returned I feared accident
sadness,A young close relative mine died leaving behind baby months old
joy,I started new branch studies failed former one When I got back exam papers I happy know I almost full marks
fear,I diving ice cave depth metres Visibility almost zero oxygen level decreased threateningly There three us divers one safety rope
anger,My mother carried using mental pressure concerning something serious real burden
sadness,My grandfather died I went mortuary saw corpse
joy,My girlfriend sent letter shiny picture
fear,I begin journey car acquaintance mine
anger,On TV news I heard Nicaragua complained increasing threat war USA
sadness,My girlfriend gave mitten left
joy,When surprise I got know got good high school graduation marks
fear,My grandmother die effect night read book bed perfect darkness fear arose I may suddenly die
anger,When I checked examination paper realized I careless thoughtless lazy hasty make unnecessary mistakes concerning things I know understand
sadness,When decided boyfriend I would separate I realized would wanted continue relationship coming separation hurt
joy,I especially good English high school graduation exam English I tensely waited result whole day In evening I heard I done excellently I became happy anxiety vanished My family home
fear,I feared I pregnant It planned I would compelled abortion I would liked Fortunately weeks anxiety I got know I pregnant
anger,A member religious sect tried convert using really evil tricks persuade After left I anxious angry long time After event I alone
sadness,When boyfriend wanted leave I felt sad melancholic
joy,When I got unexpected letter guy school mate
fear,When brother went shoot wild ducks I feared boat would overturn would drown gun would accidentally go
anger,My father told I careful try seek admission places also apart faculty Social Sciences university Helsinki I interested place time study entrance exams
sadness,I would liked go chat acquaintances I realized I wanted I felt hurt disappointed lonely deserted
joy,When I got points exam statistics The result unexpected made realize statistics surpass abilities I sometimes thought
fear,When big angry dog put snout arm I made one movement would bitten
anger,When roommates watching videotapes prevented watching news The first feeling I I treated unfairly came feeling anger
sadness,When night sleeping anothers arms one wakes alone knows lonely arms night one meets morning
joy,When friend told would come meet moment
fear,My father drinking I feared went bed night
anger,My friends promised would definitely call tell visiting
sadness,A close friend mine contacted long time
joy,When I felt exam I feared easy one went well
fear,I afraid dog ran crack fence train coming
anger,When friend mine drawn fight stupid gang belonged I felt angry friends They could think anything sensible would fool around without taking consideration feelings persons
sadness,I felt sad argument boyfriend I felt understand point carrying relationship
joy,When I got home pleasant trip abroad I got know I accepted university
fear,At school I acted group next day promised take revenge
anger,My mother time trying separate good friend thought good company Finally breakfast one day argument I tried defend friend
sadness,I got know death close friend
joy,When I pressing figures curtain cloth I bought cloth months hindrances
fear,I kindergarten teacher I thoroughly weary job After taken university entrance exam I suffered anxiety weeks I want carry work studies alternative
sadness,Estrangement best woman friend We going different ways quite time break total got married husband unreasonably jealous
fear,The fear future work making ends meet health Coping
anger,A friend mine ridiculed telling I would never accomplish anything I felt interfered life
joy,When overwhelming anxiety enquiry I understood something I exist task life
fear,At railway station waiting last train night I noticed drunk young man appraching purposeful mannner
anger,While discussion mother I realized moment doubt justification making decisions concerning life
sadness,When I think I probably never genuine contact parents
joy,The day I got know I would get shared dwelling boyfriend My parents place getting little crowded growing bother wanting room I first felt doubt joy also sadness The feeling joy strongest
anger,The outrageous conduct relative towards close meblaming us lying
sadness,We finish life yearold dog
joy,A chat telephone friend
fear,Meeting new unpleasant people new demanding situation
anger,For example unfair pushing bus
sadness,When I opinion understood correctly
fear,I travelling back home boat two friends mine lovely holiday trip The night sea dark wind blowing I feared death boat I somehow felt sure I feared left alone
